corpus,dataset,n_norm,n_hard,frac_triv,fp,n_eff,eff_frac
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,4633,1848,0.0,136|3babbe331d|dcb17f44a5,449,0.24296536796536797
oddbench,HumanRobotCollaboration,2400,1789,0.04992033988316516,3|0515b43795|f412a5d928,250,0.13974287311347122
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,2170,1745,0.0,200|48c8fcb34d|25e08e4ab5,337,0.19312320916905446
oddbench,TBAnomalyDetection,2400,1715,0.1750841750841751,3|ee1d64fdd5|684ff1680d,413,0.24081632653061225
dami,SpamBase,1012,1679,0.0,57|d84b0b4c54|0b1606830c,474,0.2823108993448481
adbench,35_SpamBase,1012,1679,0.0,57|c77cdf9579|f1f90a5f0c,475,0.2829064919594997
ovrbench,malware-analysis-datasets-pe-section-hea,2400,1645,0.0463768115942029,4|67234439b4|b4a0f751e7,481,0.2924012158054711
ovrbench,CelestialObjects2,2400,1551,0.8289778365861726,14|95e7258530|86908407fc,500,0.3223726627981947
ovrbench,NetworkHealthMonitor,2400,1508,0.02268308489954634,22|3e8b950260|83fa5c6286,384,0.2546419098143236
ovrbench,Word2VecPCA,2400,1435,0.04077540106951872,3|a2e58e6b3f|42665341d9,369,0.2571428571428571
ovrbench,AmazonReviewAnomalies,2400,1434,0.08312020460358056,3|25a1b6fbf5|4e508188da,467,0.32566248256624825
oddbench,GeneticVariation,1831,1430,0.006944444444444444,6|62380386af|bc03bba8d8,424,0.2965034965034965
oddbench,BuildingInspections,2400,1426,0.5141396933560477,5|3b188946d2|dd30716b7b,441,0.30925666199158486
ovrbench,CreditCustomerData,2400,1368,0.0,7|7a1f554889|90634a2339,467,0.34137426900584794
ovrbench,ailerons,2400,1356,0.259825327510917,28|28bd355556|f6a3ba98c8,491,0.362094395280236
ovrbench,compass,2400,1343,0.05754385964912281,9|26e8aa9927|d528eeb1f1,362,0.2695457930007446
ovrbench,guillermo,2400,1327,0.0,4279|6845f7fa76|8666a05398,480,0.3617181612660136
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,2306,1303,0.3345250255362615,16|9212c2d686|95d1332162,510,0.3914044512663085
