method,mean,macro,median,p75,p90,max,pct_oracle,pct_bad,vsMV
NoMaS matched,0.14525526421576912,0.14894983803216105,0.0706137724712425,0.18093608406529949,0.42527931707621797,0.9391296238090816,0.19428571428571428,0.13142857142857142,0.026725430544996383
NoMaS beta=1,0.1434194716527402,0.15082990462833307,0.069428300299136,0.1922761395504293,0.3700128332977609,0.9391296238090816,0.24571428571428572,0.14285714285714285,0.024756931877791072
EM,0.1631385872944053,0.1588061291499951,0.0913918702608651,0.21473767109010217,0.4178523188322446,0.9391296238090816,0.12571428571428572,0.17714285714285713,0.08457832291661053
MV,0.15171806843553537,0.1484291317625296,0.0885723273478502,0.18826634912704415,0.39066842495121584,0.9391296238090816,0.13142857142857142,0.1657142857142857,
consensus/UDR,0.22879796420030787,0.22503252741169838,0.1511612017674293,0.3029110571952338,0.5420648095479195,0.8824316690073153,0.005714285714285714,0.2571428571428571,3.8484801566842394e-10
ModelCentrality,0.22905312798312355,0.22525358514433574,0.1549729482449282,0.29140614727905406,0.5420648095479195,0.9359243512029548,0.005714285714285714,0.25142857142857145,4.733784423144083e-10
HITS,0.22554644512352898,0.22175794045615377,0.1494556310813835,0.29622473523870263,0.553555106019092,0.9359243512029548,0.022857142857142857,0.25142857142857145,7.201468371674817e-09
random,0.22615058084304085,0.22768380941764924,0.1694972329086632,0.3055693974413728,0.49790725047485473,0.8451462922585516,0.0,0.2571428571428571,1.360678415137168e-08
