corpus,dataset,n_pc,knn_orig,catch_orig,catch_pc,fp_pc,nhard_orig,nhard_pc,knn_after_pc
ovrbench,EEGEyeState,5,0.475,0.06,0.07,0.05,1060,1052,0.447
ovrbench,ShuttleOperations,5,0.965,0.59,0.71,0.05,1056,750,0.944
tsbad_m,188_Exathlon_id_15_Facility_tr_12538_1st,38,,0.99,1.0,0.05,10,1,
ovrbench,BusinessAnomalies,5,0.353,0.49,0.51,0.05,1022,968,0.285
oddbench,BarExamPrediction,6,0.458,0.02,0.21,0.05,1014,821,0.27
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,6,0.073,0.58,0.49,0.05,451,548,0.178
ovrbench,CustomerChurn2,4,0.133,0.02,0.06,0.04,1009,961,0.087
ovrbench,AirPressure,68,0.925,0.0,0.87,0.05,1000,128,0.235
oddbench,TrialBehavior,2,-0.007,0.06,0.05,0.05,971,978,0.008
oddbench,TransactionFeeAnomalies,2,0.642,0.04,0.15,0.05,927,818,0.597
ovrbench,TrafficSensor,5,0.803,0.76,0.75,0.05,917,949,0.818
oddbench,RulePriorityAnomalies,4,0.207,0.11,0.16,0.05,904,854,0.084
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,5,0.183,0.44,0.41,0.04,825,867,0.258
ovrbench,GeotechnicalAnomalies,6,0.025,0.05,0.05,0.05,913,915,0.044
ovrbench,FootballEfficiency,6,0.254,0.12,0.16,0.05,921,877,0.21
ovrbench,SepsisMonitoring,10,0.179,0.01,0.1,0.05,881,803,0.066
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,7,0.075,0.42,0.37,0.05,805,870,0.075
oddbench,HealthPulse,14,0.053,0.01,0.05,0.05,856,817,0.019
ovrbench,FICO-HELOC-cleaned,15,-0.022,0.01,0.04,0.05,835,813,-0.042
ovrbench,BatchProcessingEvents,4,-0.05,0.41,0.3,0.05,818,971,0.128
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,7,0.251,0.48,0.48,0.05,742,743,0.221
ovrbench,FinancialMetricsAnomaly,15,0.114,0.12,0.16,0.05,769,739,0.069
adbench,30_satellite,5,0.308,0.6,0.62,0.05,809,765,0.237
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,5,0.132,0.19,0.21,0.05,748,735,0.142
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,6,0.09,0.63,0.59,0.04,645,714,0.134
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,5,0.079,0.58,0.54,0.04,361,395,0.129
ovrbench,volkert,71,0.353,0.43,0.27,0.03,412,529,0.464
ovrbench,philippine,172,0.259,0.0,0.0,0.0,720,720,0.259
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,5,0.138,0.56,0.47,0.04,382,458,0.206
oddbench,FantasyFootball,7,0.962,0.01,0.99,0.05,708,5,
oddbench,SMSClassification,6,0.847,0.06,0.79,0.05,701,154,0.161
ovrbench,UrlAnalysis,10,0.325,0.2,0.17,0.05,630,656,0.319
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,5,0.044,0.09,0.09,0.05,655,656,0.039
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,7,0.106,0.6,0.59,0.05,656,681,0.134
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,8,0.17,0.53,0.52,0.05,621,638,0.171
ovrbench,TwitterEmotion,12,0.122,0.07,0.06,0.04,620,627,0.1
oddbench,TreadmillStatus,4,0.532,0.01,0.03,0.04,598,584,0.528
tsbad_m,137_CreditCard_id_1_Finance_tr_500_1st_5,90,0.217,0.45,0.28,0.04,832,1082,0.398
ovrbench,BCellImmunity,8,0.111,0.17,0.1,0.05,581,630,0.136
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,5,0.227,0.6,0.59,0.05,556,583,0.206
ovrbench,GesturePhaseSegmentationProcessed,19,-0.158,0.08,0.03,0.04,524,552,-0.164
ovrbench,SpatialAnomalies,10,0.396,0.12,0.18,0.04,559,525,0.377
oddbench,AttackIncidents,4,-0.011,0.01,0.05,0.05,547,520,-0.037
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,6,0.417,0.12,0.15,0.05,545,527,0.382
ovrbench,BreastCancer,4,0.134,0.14,0.1,0.04,528,553,0.132
oddbench,WaterPointFunctionality,9,0.013,0.0,0.02,0.04,524,514,-0.004
oddbench,WaterChemistry,8,0.216,0.39,0.37,0.05,524,539,0.219
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,5,0.173,0.33,0.3,0.04,507,532,0.21
ovrbench,RealEstateData,4,0.98,0.0,0.0,0.05,491,491,0.98
dami,Annthyroid,19,0.497,0.08,0.34,0.04,492,351,0.18
oddbench,EmailSpamDetection,22,0.642,0.0,0.4,0.05,481,290,0.275
tsbad_m,110_SVDB_id_27_Medical_tr_30824_1st_3092,6,0.084,0.24,0.15,0.05,497,554,0.11
oddbench,FishingAnomalies,2,0.003,0.02,0.04,0.05,476,468,-0.001
tsbad_m,087_SVDB_id_4_Medical_tr_5421_1st_5521.c,5,0.107,0.6,0.53,0.05,454,535,0.285
oddbench,AquaticMacroInverts,15,0.943,0.02,0.42,0.04,460,274,0.879
ovrbench,ShillBidding,6,0.651,0.08,0.41,0.04,458,293,0.367
oddbench,ArtSalesPlatform,2,-0.003,0.07,0.11,0.04,460,440,-0.023
ovrbench,KDD,21,-0.003,0.02,0.03,0.03,448,447,-0.006
ovrbench,page-blocks,6,0.792,0.21,0.8,0.05,442,112,0.191
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,5,0.096,0.35,0.27,0.05,426,480,0.144
oddbench,WindowsEditionAnomaly,20,0.548,0.09,0.43,0.05,437,273,0.397
ovrbench,CryptojackingSystem,8,0.028,0.3,0.07,0.04,416,559,0.034
tsbad_m,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,34,0.533,0.05,0.41,0.05,427,267,0.142
tsbad_m,095_SVDB_id_12_Medical_tr_6264_1st_6364.,5,0.092,0.35,0.27,0.05,418,473,0.154
tsbad_m,103_SVDB_id_20_Medical_tr_12167_1st_1226,7,-0.006,0.33,0.2,0.05,420,506,0.127
tsbad_m,107_SVDB_id_24_Medical_tr_32805_1st_3290,6,0.071,0.31,0.23,0.05,419,464,0.136
oddbench,LandShapeAnomaly,8,0.273,0.14,0.18,0.05,421,400,0.22
tsbad_m,108_SVDB_id_25_Medical_tr_1238_1st_1338.,8,0.383,0.51,0.67,0.05,275,186,0.05
oddbench,OkCupidUserBehavior,4,0.067,0.07,0.07,0.05,386,385,0.052
adbench,27_PageBlocks,6,0.779,0.22,0.74,0.04,398,132,0.232
dami,PageBlocks,6,0.779,0.22,0.74,0.04,398,132,0.232
ovrbench,KPIData,2,-0.041,0.03,0.04,0.05,373,371,-0.042
tsbad_m,141_CATSv2_id_4_Sensor_tr_41727_1st_4182,34,0.616,0.29,0.66,0.04,295,142,0.053
oddbench,SalesPerformance,6,0.139,0.01,0.11,0.04,360,324,0.065
ovrbench,KenyaMovement,8,0.078,0.1,0.1,0.05,361,359,0.079
ovrbench,FinancialTransaction1,38,-0.012,0.06,0.06,0.05,364,365,-0.011
ovrbench,SyntheticNumericalBatch,46,0.009,0.04,0.04,0.03,322,320,0.019
ovrbench,GamingBehavior,15,0.397,0.17,0.18,0.04,333,329,0.356
ovrbench,ECGAnomaly,29,0.914,0.49,0.97,0.04,298,17,0.247
oddbench,AxieInfinityBug,6,0.191,0.05,0.02,0.05,315,326,0.195
tsbad_m,173_GECCO_id_1_Sensor_tr_16165_1st_16265,24,0.282,0.87,0.83,0.05,39,53,0.272
oddbench,LandRarity,5,-0.034,0.18,0.03,0.05,309,365,0.009
oddbench,HealthBehavior,4,0.067,0.19,0.17,0.05,316,327,0.086
ovrbench,SpotifyHitPredictor,11,0.582,0.22,0.54,0.04,320,188,0.134
ovrbench,UserInteraction1,4,0.716,0.81,0.92,0.04,300,129,0.249
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,5,0.121,0.69,0.65,0.05,266,298,0.196
ovrbench,AbstractAnomalyBatch,24,0.004,0.3,0.09,0.05,295,384,0.004
oddbench,VoteOutcome,5,0.246,0.58,0.63,0.05,281,248,0.161
tsbad_m,143_CATSv2_id_6_Sensor_tr_50000_1st_6023,34,0.613,0.12,0.52,0.04,243,132,0.08
ovrbench,students_dropout_and_academic_success,8,0.393,0.15,0.3,0.05,264,219,0.198
ovrbench,visualizing_soil,3,0.666,0.19,0.11,0.04,266,292,0.711
oddbench,CasePriority,4,0.428,0.02,0.23,0.05,264,209,0.306
adbench,44_Wilt,4,0.041,0.02,0.01,0.05,253,255,0.04
oddbench,GeneticAnalysis,3,-0.005,0.12,0.15,0.05,260,251,-0.008
dami,Wilt,4,0.041,0.02,0.01,0.05,253,255,0.04
oddbench,ProgrammingAnomalies,5,0.0,0.1,0.07,0.05,244,252,0.001
oddbench,RealEstateBlockType,3,0.022,0.15,0.11,0.05,235,246,0.037
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,6,0.003,0.13,0.08,0.05,199,211,0.008
ovrbench,HealthMetrics,3,0.008,0.15,0.1,0.05,212,225,0.012
tsbad_m,084_SVDB_id_1_Medical_tr_12973_1st_13073,6,0.079,0.29,0.32,0.05,220,211,0.049
oddbench,UserEventAnomalies,3,0.477,0.04,0.1,0.04,220,207,0.46
oddbench,BugSeverity,12,0.113,0.07,0.16,0.05,211,192,0.053
ovrbench,mozilla4,3,-0.015,0.81,0.1,0.04,190,900,0.028
ovrbench,BankruptcyForecast,29,0.009,0.07,0.06,0.05,189,191,0.01
oddbench,CarMakeAnomaly,4,0.085,0.14,0.14,0.05,174,174,0.072
ovrbench,ozone-level-8hr,19,-0.052,0.01,0.01,0.04,159,159,-0.052
ovrbench,seismic-bumps,4,0.098,0.08,0.08,0.05,156,157,0.103
tsbad_m,104_SVDB_id_21_Medical_tr_50000_1st_1066,5,0.069,0.41,0.4,0.05,159,162,0.071
oddbench,AustinCrime,4,0.137,0.26,0.45,0.04,150,112,0.016
ovrbench,GeneExpressionCoactivator,4,0.47,0.68,0.77,0.05,177,127,0.298
oddbench,RealEstateProperties,4,0.139,0.36,0.35,0.05,138,142,0.144
tsbad_m,138_CATSv2_id_1_Sensor_tr_16568_1st_1666,33,0.536,0.23,0.64,0.05,105,50,0.064
ovrbench,thyroid-ann,5,0.367,0.46,0.49,0.05,152,146,0.349
adbench,23_mammography,5,0.078,0.55,0.55,0.05,117,118,0.073
oddbench,DeveloperSurvey,4,0.036,0.0,0.13,0.04,119,103,-0.006
oddbench,GenomicSequencing,7,0.308,0.0,0.27,0.05,117,85,0.212
