dataset,corpus,truefam,d,n_anom,or_ap,frac_anom_trivial,frac_norm_trivial,n_hard_anom
JobChangePatterns,ovrbench,global,3,2864,0.02327929112934333,0.0006983240223463687,0.0,2862
JobMarket,ovrbench,local,5,109,0.004193122867427437,0.0,0.0070028011204481795,109
KickstarterCampaigns,ovrbench,global,5,31296,0.4044140748582511,0.2615669734151329,0.0025,23110
LandRarity,oddbench,global,7,378,0.3137760598718558,0.18253968253968253,0.00089126559714795,309
LandShapeAnomaly,oddbench,global,11,490,0.2089443332497411,0.07959183673469387,0.013389711064129669,451
MalariaDetection,ovrbench,global,5,1153,0.19450190527082994,0.004336513443191674,0.006666666666666667,1148
MalwareHardwareMetrics,ovrbench,local,16,802,0.4203146321236576,0.12718204488778054,0.010833333333333334,700
MissingInformation1,ovrbench,local,20,269,0.7212068990656932,0.6914498141263941,0.01951219512195122,83
MolecularAnomalies1,ovrbench,global,106,199,0.3131865132898811,0.7085427135678392,0.21231422505307856,58
MusicGenreAnomaly,oddbench,local,13,32,0.3672038169202217,0.59375,0.015068493150684932,13
NetworkHealthMonitor,ovrbench,local,22,1543,0.47859416411597927,0.03953337653920933,0.006666666666666667,1482
NeuroSignalEEG,ovrbench,global,12,14578,0.08918043907492954,0.018109480038414047,0.0016666666666666668,14314
OrbitalAnomalies,ovrbench,global,11,113,0.930513254370014,1.0,0.011844331641285956,0
PatientSurvival1,ovrbench,global,9,73,0.29766855855540214,0.3972602739726027,0.05924170616113744,44
PerformanceBenchmark,ovrbench,global,4,94,0.38215897256377923,0.24468085106382978,0.00823045267489712,71
PokemonBattle,ovrbench,local,12,1214,0.16127458240818507,0.01070840197693575,0.00625,1201
PoliceArrestFraud,oddbench,global,3,20,0.21083081711497073,0.05,0.008146639511201629,19
PoliceForceDisturbance,oddbench,local,18,2147,0.02793681264018384,0.015370284117373078,0.00375,2114
ProtestViolence,oddbench,global,7,2686,0.3349983761460905,0.0052122114668652275,0.007916666666666667,2672
RacingMotion,oddbench,local,10,2924,0.41173979572831326,0.2780437756497948,0.00875,2111
RealEstateData,ovrbench,global,4,491,0.07503410989420661,0.002036659877800407,0.0013458950201884253,490
Run_or_walk_information,ovrbench,local,6,3170,-0.005742582992753524,0.0003154574132492114,0.0033333333333333335,3169
SalesPerformance,oddbench,global,7,364,0.10587974944770526,0.016483516483516484,0.01231060606060606,358
ScientificMeasurement,ovrbench,local,3,278,0.3495669039941947,0.06474820143884892,0.008714596949891068,260
SensorAnomaly,ovrbench,local,10,1248,0.11259850764370488,0.03365384615384615,0.011666666666666667,1206
ShuttleOperations,ovrbench,local,8,2573,0.7772065660752482,0.4407306645938593,0.0025,1439
SolarFlare,ovrbench,global,15,11673,0.48014266372100234,0.18778377452240214,0.009583333333333333,9481
SpatialAnomalies,ovrbench,local,14,637,0.08581564684382796,0.09733124018838304,0.025440313111545987,575
SpeechAnalysis,ovrbench,global,14,988,0.7199479346813341,0.6163967611336032,0.010416666666666666,379
SpotifyHitPredictor,ovrbench,global,13,411,0.5808787937420766,0.41362530413625304,0.02421875,241
SyntheticNumericalBatch,ovrbench,local,128,334,0.02979743249809509,0.008982035928143712,0.030870445344129555,331
SystemFailureCases,oddbench,local,4,280,0.4367540447573281,0.06428571428571428,0.006756756756756757,262
SystemPerformance2,ovrbench,local,6,610,0.9131139607342115,0.9049180327868852,0.002,58
TBAnomalyDetection,oddbench,global,3,2079,0.18985854088740545,0.011063011063011063,0.0008333333333333334,2056
TrafficSensor,ovrbench,local,9,3844,0.8011985112416913,0.6945889698231009,0.002916666666666667,1174
TreadmillStatus,oddbench,local,7,602,0.15164241440195006,0.0033222591362126247,0.0,600
TrialBehavior,oddbench,global,3,1034,0.000822159884695577,0.0019342359767891683,0.00125,1032
UrlAnalysis,ovrbench,global,15,790,0.36171887428344995,0.13670886075949368,0.018867924528301886,682
UserEventAnomalies,oddbench,global,3,230,0.054028267001274395,0.0,0.005,230
UserTrackingAnomalies,oddbench,local,5,166,0.18888991055561782,0.030120481927710843,0.009940357852882704,161
ViralProteinFunction,ovrbench,global,3,12500,0.27080173524792467,0.0976,0.0025,11280
VoteOutcome,oddbench,local,8,671,0.5024180486719311,0.3055141579731744,0.005,466
WaterChemistry,oddbench,local,25,854,0.4948970669415246,0.3255269320843091,0.02023608768971332,576
WaterMeterAnomaly,oddbench,local,5,1595,0.9540188398294145,0.9529780564263323,0.0025,75
WebTrafficError,oddbench,global,6,433,0.02292357013020905,0.0023094688221709007,0.00125,432
WellMetrics,ovrbench,local,8,36,0.26874025533784746,0.3888888888888889,0.023255813953488372,22
XSSDetection,ovrbench,global,56,6051,0.16858924067001915,0.0983308544042307,0.04791666666666667,5456
ZookeeperLogs,oddbench,local,3,617,0.16436895804138518,0.04376012965964344,0.0004166666666666667,590
ailerons,ovrbench,global,28,1832,0.3424973023002948,0.06932314410480349,0.00625,1705
madeline,ovrbench,local,255,193,-0.033523097211947586,0.44041450777202074,0.5632911392405063,108
mozilla4,ovrbench,local,4,998,0.8354330524972733,0.7995991983967936,0.0004166666666666667,200
ozone-level-8hr,ovrbench,local,72,160,0.0007536869296125514,0.09375,0.05368421052631579,145
philippine,ovrbench,global,308,720,0.015216965864965615,0.3861111111111111,0.3556126820908312,442
students_dropout_and_academic_success,ovrbench,local,14,312,0.23076110725407162,0.13782051282051283,0.030542986425339366,269
