corpus,dataset,truefam,n_calib,reg_binary,reg_alpha10,reg_direct10,reg_oracle
ovrbench,KickstarterCampaigns,local,1346,0.1697,0.1697,0.0000,0.0
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,global,174,0.2256,0.2572,0.0000,0.0
adbench,19_landsat,local,112,0.0001,0.0001,0.0000,0.0
ovrbench,SpatialAnomalies,local,47,0.0000,0.0000,0.0000,0.0
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,local,61,0.0000,0.0000,0.0000,0.0
oddbench,RulePriorityAnomalies,local,79,0.0000,0.0087,0.0044,0.0
oddbench,WaterChemistry,local,47,0.0921,0.0000,0.0000,0.0
ovrbench,EmployeePerformance,local,667,0.8599,0.0909,0.0000,0.0
ovrbench,SepsisMonitoring,local,80,0.1134,0.0000,0.0109,0.0
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,global,42,0.0944,0.0944,0.0000,0.0
ovrbench,BatchProcessingEvents,local,79,0.0178,0.0178,0.0178,0.0
ovrbench,PhysicsTraining,local,346,0.1786,0.0182,0.0194,0.0
ovrbench,volkert,global,42,0.2754,0.2754,0.0000,0.0
ovrbench,FireRiskAnalysis,global,363,0.0356,0.0357,0.0000,0.0
adbench,30_satellite,global,69,0.1803,0.1803,0.0000,0.0
oddbench,AttackIncidents,local,52,0.0961,0.0368,0.0047,0.0
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,local,45,0.0775,0.0775,0.0175,0.0
ovrbench,RealEstateData,global,49,0.1971,0.1458,0.0000,0.0
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,local,45,0.0443,0.0443,0.1139,0.0
oddbench,RacingMotion,local,199,0.9412,0.6887,0.0000,0.0
ovrbench,CryptojackingSystem,local,41,0.0440,0.0440,0.0440,0.0
ovrbench,CreditScoringAnomalies,local,615,0.2305,0.0865,0.0427,0.0
oddbench,LandShapeAnomaly,global,37,0.1691,0.0005,0.1021,0.0
ovrbench,XSSDetection,global,504,0.3601,0.4992,0.0162,0.0
ovrbench,NetworkHealthMonitor,local,78,0.0296,0.0296,0.0149,0.0
oddbench,OkCupidUserBehavior,local,37,0.0396,0.0225,0.0225,0.0
tsbad_m,087_SVDB_id_4_Medical_tr_5421_1st_5521.c,local,43,0.0000,0.0000,0.0079,0.0
ovrbench,KDD,global,43,0.1138,0.0440,0.0973,0.0
tsbad_m,110_SVDB_id_27_Medical_tr_30824_1st_3092,local,43,0.0181,0.0181,0.0181,0.0
oddbench,PoliceForceDisturbance,local,203,0.3446,0.3446,0.0000,0.0
tsbad_m,095_SVDB_id_12_Medical_tr_6264_1st_6364.,local,39,0.0046,0.0046,0.0046,0.0
ovrbench,WebpageSessionIntrusion,local,197,0.0000,0.0000,0.0000,0.0
tsbad_m,142_CATSv2_id_5_Sensor_tr_30704_1st_3080,global,68,0.0972,0.0972,0.0181,0.0
ovrbench,UrlAnalysis,global,61,0.7560,0.1254,0.0000,0.0
oddbench,CourseRegistration,local,219,0.1987,0.1987,0.0000,0.0
tsbad_m,107_SVDB_id_24_Medical_tr_32805_1st_3290,local,41,0.0141,0.0000,0.0150,0.0
dami,Annthyroid,global,34,0.0000,0.0000,0.0069,0.0
oddbench,GPUResourceUsage,local,109,0.2913,0.2913,0.0000,0.0
ovrbench,KenyaMovement,local,33,0.0695,0.0057,0.0342,0.0
oddbench,DiamondClarity,local,121,0.0000,0.0000,0.0000,0.0
oddbench,HealthBehavior,global,29,0.0025,0.0025,0.0282,0.0
ovrbench,ShillBidding,global,27,0.0015,0.1265,0.0480,0.0
oddbench,SalesPerformance,global,32,0.0615,0.0615,0.0000,0.0
tsbad_m,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,global,39,0.1761,0.2406,0.0000,0.0
oddbench,HumanRobotCollaboration,local,172,0.0080,0.0080,0.0000,0.0
oddbench,VoteOutcome,local,26,0.1049,0.0000,0.0000,0.0
oddbench,EmailSpamDetection,global,29,0.4936,0.4097,0.0000,0.0
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,local,73,0.2451,0.0228,0.0314,0.0
ovrbench,SyntheticNumericalBatch,local,31,0.0000,0.0000,0.0000,0.0
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,local,26,0.0141,0.0090,0.0090,0.0
ovrbench,Run_or_walk_information,local,265,0.0000,0.0000,0.0000,0.0
tsbad_m,141_CATSv2_id_4_Sensor_tr_41727_1st_4182,global,29,0.4527,0.1485,0.0000,0.0
ovrbench,FinancialTransaction1,global,35,0.0728,0.0527,0.0167,0.0
oddbench,ArtSalesPlatform,local,42,0.0909,0.0909,0.0329,0.0
tsbad_m,103_SVDB_id_20_Medical_tr_12167_1st_1226,local,39,0.0000,0.0000,0.0000,0.0
ovrbench,AbstractAnomalyBatch,local,29,0.8791,0.8791,0.0000,0.0
ovrbench,visualizing_soil,global,23,0.6717,0.6717,0.0201,0.0
