key,IForest_raw,USAD,TranAD,AnomalyTransformer,OmniAnomaly,TimesNet,LSTMAD,best_rawdeep,best_all_raw
097_SVDB_id_14_Medical_tr_1031_1st_1131.,0.45888502196097725,0.6681730933857541,0.6838862064778009,0.035413033626311034,0.7922565123048458,0.27488739812570545,0.6738350300027455,0.7922565123048458,0.7922565123048458
099_SVDB_id_16_Medical_tr_1115_1st_1215.,0.26635080637525077,0.28383465116846773,0.15859350122922347,0.027635962290573614,0.46583399009345916,0.1022419022466208,0.12463331956490858,0.46583399009345916,0.46583399009345916
109_SVDB_id_26_Medical_tr_1038_1st_1138.,0.35603397383367835,-0.002695471832733486,0.03584879098423237,0.2758820825317196,0.38889045971250213,0.01955806586933672,0.21958240022568407,0.38889045971250213,0.38889045971250213
143_CATSv2_id_6_Sensor_tr_50000_1st_6023,0.2098703859786811,0.3753655273581929,0.37441467444653387,0.024599188000092993,0.34833168735646036,0.07184948547642962,0.3755684260977356,0.3755684260977356,0.3755684260977356
103_SVDB_id_20_Medical_tr_12167_1st_1226,0.16748365468373427,-0.007183265625141554,-0.0014470531552001657,0.0,0.004122814614143261,0.019482162143683767,-0.011192810582450181,0.019482162143683767,0.16748365468373427
107_SVDB_id_24_Medical_tr_32805_1st_3290,0.6958176088568538,-0.012303437876997874,-0.012400072228538983,0.3599190676949319,-0.004815711303476175,-0.010062405538895806,0.26190966641675567,0.3599190676949319,0.6958176088568538
113_SVDB_id_30_Medical_tr_4552_1st_4652.,0.03104778157721447,0.46535598394893557,0.4637077021797852,0.45090212424900256,0.6969061339237472,0.3045078600921247,0.4968858007201441,0.6969061339237472,0.6969061339237472
095_SVDB_id_12_Medical_tr_6264_1st_6364.,0.2641354229574901,0.1236962151525021,0.12871941951623048,0.05993338577186631,0.3915146724026826,0.055436846966058585,0.18754711715377706,0.3915146724026826,0.3915146724026826
105_SVDB_id_22_Medical_tr_500_1st_417.cs,0.35013423050799425,0.22363912943918499,0.15683393987585023,0.11826497628160944,0.45833449855809527,0.09594776261573663,0.30942167571737916,0.45833449855809527,0.45833449855809527
112_SVDB_id_29_Medical_tr_8226_1st_8326.,0.09183527091652567,0.0011562253574056707,-0.0007951859954011042,0.011831724325306771,-0.0011221519569107918,-0.0024825389406599907,0.0554242102109748,0.0554242102109748,0.09183527091652567
087_SVDB_id_4_Medical_tr_5421_1st_5521.c,0.41561392819569654,0.345800158589837,0.33204966467166164,-0.026078691122085742,0.5733410679230858,0.1463882000112304,0.3852741916229913,0.5733410679230858,0.5733410679230858
098_SVDB_id_15_Medical_tr_500_1st_303.cs,0.14832330085881257,0.21745761849056994,0.24704585466505846,0.013677623524401406,0.30213168691659215,0.05652802208309018,0.34685797089769177,0.34685797089769177,0.34685797089769177
084_SVDB_id_1_Medical_tr_12973_1st_13073,0.04569222798777647,0.16297716718080407,0.14740300999955583,0.018008967022644602,0.4271886695315308,0.06316706037125605,0.19697045968154311,0.4271886695315308,0.4271886695315308
086_SVDB_id_3_Medical_tr_533_1st_633.csv,0.04977454560842353,0.3356963153590985,0.3378206203550388,0.09605367082967656,0.43541328245792316,0.03760491106430092,0.367627336015766,0.43541328245792316,0.43541328245792316
030_MITDB_id_12_Medical_tr_50000_1st_845,0.2803460930807407,0.10941085188154134,0.10470963850307932,-0.0040502002691267455,0.09765664934522136,0.018708918226616352,0.11970187122941275,0.11970187122941275,0.2803460930807407
101_SVDB_id_18_Medical_tr_1851_1st_1951.,0.05009258095718907,0.504343741765275,0.4867017473973941,0.15776808741755338,0.6951590277150335,0.2759834719026754,0.5306761032712173,0.6951590277150335,0.6951590277150335
139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,0.02114753041511156,-0.018397048589192097,-0.017890620615895383,0.006942391512589611,-0.015173138358039436,-0.012955354107033688,-0.018415481948614226,0.006942391512589611,0.02114753041511156
108_SVDB_id_25_Medical_tr_1238_1st_1338.,0.7550725548709096,0.6230458214388934,0.5990072501477366,0.1115695376620621,0.6291950407930709,0.3640530212949844,0.4159999505772904,0.6291950407930709,0.7550725548709096
026_MITDB_id_8_Medical_tr_30495_1st_3059,0.06539952871376897,0.14838127566105913,0.08885251320172229,0.11978969924883553,0.33700498472898066,-0.039318364917565504,0.20068666810086297,0.33700498472898066,0.33700498472898066
093_SVDB_id_10_Medical_tr_500_1st_37.csv,0.6926810934941323,0.38092017373891984,0.3638180718510308,0.33330556850663284,0.4720210244085351,0.30015611590665564,0.5658595646701386,0.5658595646701386,0.6926810934941323
096_SVDB_id_13_Medical_tr_500_1st_444.cs,0.3069476326287195,0.05884201716396867,0.04298280044982984,0.035430843614735925,0.20629315855447142,0.006291662332310442,0.18957474502503213,0.20629315855447142,0.3069476326287195
088_SVDB_id_5_Medical_tr_500_1st_168.csv,0.8973624751810841,-0.005132181066742057,0.01578675032529679,0.11594436422430428,0.15719153204892675,0.03662191405897053,0.08920440610561477,0.15719153204892675,0.8973624751810841
019_MITDB_id_1_Medical_tr_37500_1st_1032,0.08006200624131962,0.22343325719768,0.2389578444996085,-0.05668292182822635,0.2589629568353608,0.09366175312208311,0.1730739428131469,0.2589629568353608,0.2589629568353608
140_CATSv2_id_3_Sensor_tr_28307_1st_2840,0.46976219017733667,-0.02318228979977431,-0.023057925852478293,-0.004234927275471625,-0.023665133060050764,0.0825801426809219,-0.02285940557555473,0.0825801426809219,0.46976219017733667
053_GHL_id_22_Sensor_tr_50000_1st_126448,-0.11033789779615402,0.2632258474904188,0.26997907294003337,0.0036602528340876892,0.34129336927649906,-0.131611375683321,0.2567050409584737,0.34129336927649906,0.34129336927649906
111_SVDB_id_28_Medical_tr_1791_1st_1891.,0.27090525005248367,0.40503221873521905,0.3498269728959981,-0.027536975544071165,0.6241127273370731,0.10709879692066997,0.551542243195064,0.6241127273370731,0.6241127273370731
141_CATSv2_id_4_Sensor_tr_41727_1st_4182,0.027455369041493566,-0.010114523764027003,-0.010125108248840017,0.0025065397865782846,-0.010001833243710621,0.00499512935975675,-0.00931060998553019,0.00499512935975675,0.027455369041493566
092_SVDB_id_9_Medical_tr_2674_1st_2774.c,0.04579356218283783,0.6027723090708622,0.5677168721249486,-0.035038463371056636,0.9474368839761965,0.5962934270522094,0.8140956268596402,0.9474368839761965,0.9474368839761965
085_SVDB_id_2_Medical_tr_50000_1st_54982,0.049054821209586846,0.1372187617240164,0.17201320365745795,0.32389488882096273,0.36109555727949966,0.12858209886298408,0.1332012458414405,0.36109555727949966,0.36109555727949966
031_MITDB_id_13_Medical_tr_50000_1st_794,0.0038848627138288855,0.0080867456667895,-0.0013777585915622048,-0.004716515622908967,-0.009890637004967045,-0.009046432485050564,-0.0073873994933197525,0.0080867456667895,0.0080867456667895
110_SVDB_id_27_Medical_tr_30824_1st_3092,0.03759597979897697,0.022866935166341,0.02980389325831173,-0.011416724454534696,0.25539844578782683,-0.007020733847741424,0.01623347397600586,0.25539844578782683,0.25539844578782683
115_PSM_id_1_Facility_tr_50000_1st_12987,0.12188189924624565,0.4137598120906557,0.7243063080104427,0.0,0.45390353083289614,0.17526912873146694,0.43658224836394305,0.7243063080104427,0.7243063080104427
091_SVDB_id_8_Medical_tr_500_1st_126.csv,0.2546887198826051,0.2811857572450697,0.2244432214413468,0.009825050345682814,0.6993993065321009,0.1100746473747812,0.22991605691528974,0.6993993065321009,0.6993993065321009
082_LTDB_id_4_Medical_tr_4456_1st_4556.c,0.7945238341486276,-0.06399711315632087,-0.08054528636421823,-0.046783550306121545,0.29717491183529704,-0.10570938016381935,0.20389158916452108,0.29717491183529704,0.7945238341486276
