corpus,dataset,truefam,local_ev,reg_binary,reg_alpha_s2,reg_alpha_s4,reg_alpha_s8
oddbench,GPUResourceUsage,local,-0.17953750000000002,0.5518954438551077,0.49839950338255173,0.49839950338255173,0.49839950338255173
ovrbench,KenyaMovement,local,-0.3302770833333333,0.07384787435171312,0.07384787435171312,0.07384787435171312,0.07384787435171312
oddbench,DiamondClarity,local,-0.14243749999999977,0.7507518505538945,0.8357222625173195,0.8357222625173195,0.8357222625173195
oddbench,HealthBehavior,global,-0.1925938477580813,0.0207888683526068,0.0207888683526068,0.0207888683526068,0.0207888683526068
ovrbench,ShillBidding,global,-0.17579495128432232,0.0,0.0,0.0,0.0
oddbench,SalesPerformance,global,-0.15298295454545452,0.15954621236030997,0.06035315984993006,0.06035315984993006,0.06035315984993006
tsbad_m,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,global,-0.006280746395250336,0.18648429650533238,0.18648429650533238,0.18648429650533238,0.18648429650533238
oddbench,HumanRobotCollaboration,local,-0.00968958333333314,0.0065361836415769314,0.0065361836415769314,0.0065361836415769314,0.0065361836415769314
oddbench,VoteOutcome,local,-0.05726249999999988,0.10555455853759643,0.10555455853759643,0.10555455853759643,0.10555455853759643
oddbench,EmailSpamDetection,global,-0.006908713692945989,0.5084255644630384,0.5084255644630384,0.5084255644630384,0.5084255644630384
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,local,-0.00023530664395221557,0.020767063983704204,0.020767063983704204,0.020767063983704204,0.020767063983704204
ovrbench,SyntheticNumericalBatch,local,-0.0008856275303644745,0.0,0.0,0.0,0.0
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,local,-0.004783231816553268,0.0,0.0,0.0,0.0
ovrbench,Run_or_walk_information,local,-0.1789729166666666,0.03407725340442014,0.03407725340442014,0.03407725340442014,0.03407725340442014
tsbad_m,141_CATSv2_id_4_Sensor_tr_41727_1st_4182,global,-0.04134872680189916,0.15163815963957028,0.16424565627603893,0.16424565627603893,0.15163815963957028
ovrbench,FinancialTransaction1,global,-0.02948750000000011,0.057360732395833156,0.10804151326841796,0.10804151326841796,0.10804151326841796
oddbench,ArtSalesPlatform,global,-0.16521874999999986,0.16066840378309546,0.16066840378309546,0.16066840378309546,0.16066840378309546
tsbad_m,103_SVDB_id_20_Medical_tr_12167_1st_1226,local,-0.03875134940626124,0.0,0.0,0.0,0.0
ovrbench,AbstractAnomalyBatch,local,-0.26683749999999995,0.8715851259910832,0.8824316690073153,0.8824316690073153,0.8824316690073153
ovrbench,visualizing_soil,global,-0.16954784437434267,0.5769539622518834,0.5769539622518834,0.5769539622518834,0.5769539622518834
ovrbench,GamingBehavior,local,-0.21318250000000005,0.3946529307284655,0.04961384452025963,0.04961384452025963,0.04961384452025963
oddbench,GeneticAnalysis,global,-0.1314333933393339,0.05156207522543253,0.064568335635412,0.064568335635412,0.09924557412260428
oddbench,AxieInfinityBug,global,-0.17756041666666678,0.02953641428983702,0.07974135116320302,0.02953641428983702,0.02953641428983702
oddbench,RealEstateBlockType,global,-0.339800796812749,0.04167847856628333,0.01732044233409953,0.01732044233409953,0.01732044233409953
oddbench,WaterPointFunctionality,local,-0.09226458333333332,0.0,0.05772271854447303,0.05772271854447303,0.04456556052315688
oddbench,SMSClassification,global,-0.14639637305699482,0.07119140031766896,0.2370115473319354,0.2370115473319354,0.2370115473319354
ovrbench,KPIData,local,-0.12267083333333328,0.09676018356074964,0.09676018356074964,0.09676018356074964,0.09676018356074964
ovrbench,ShuttleOperations,local,-0.0383062500000001,0.0,0.0,0.0,0.0
