corpus,dataset,n_anom,n_norm,frac_triv,n_hard,br_hard
oddbench,HousePriceSales,101,480,0.0,101,0.17383820998248908
oddbench,HumanObjectInteraction,317,655,0.3186119873817035,216,0.24799081515470955
oddbench,HumanRobotCollaboration,1883,2400,0.04992033988316516,1789,0.42707089997602593
oddbench,HurricaneTracks,32,1748,0.0,32,0.017977528089877542
oddbench,LandRarity,378,1122,0.18253968253968253,309,0.2159329140459707
oddbench,LandShapeAnomaly,490,1419,0.15918367346938775,412,0.22501365374100218
oddbench,MedicalClassificationAnomalies,2063,2400,0.9907901114881241,19,0.007854485324511015
oddbench,MouseInteractionPhase,3246,2400,0.0,3246,0.5749202975556899
oddbench,MusicGenreAnomaly,32,730,0.59375,13,0.01749663526242598
oddbench,NavigationBugReport,48,422,1.0,0,0.0
oddbench,NetworkFlowAnomalies,149,1931,1.0,0,0.0
oddbench,OkCupidUserBehavior,415,1130,0.07228915662650602,385,0.2541254125410864
oddbench,PTENPhosphatase,442,2400,1.0,0,0.0
oddbench,PatientStatusTracking,31,1363,0.06451612903225806,29,0.02083333333331837
oddbench,PoliceArrestFraud,20,491,0.05,19,0.03725490196071127
oddbench,PoliceForceDisturbance,2147,2400,0.008849557522123894,2128,0.4699646643108502
oddbench,ProductionRunStatus,918,2400,0.0196078431372549,900,0.2727272727271901
oddbench,ProgrammingAnomalies,271,2400,0.0959409594095941,245,0.09262759924382132
oddbench,PropertyCondition,5152,2400,0.0025232919254658385,5139,0.6816553919617082
oddbench,ProsperLoan,3035,2400,0.028336079077429983,2949,0.5513180033650119
oddbench,ProteinCodonAnalysis,214,2400,0.004672897196261682,213,0.08151549942591599
oddbench,ProtestViolence,2686,2400,0.28332092330603126,1925,0.44508670520220917
oddbench,RacingMotion,2924,2400,0.2496580027359781,2194,0.47757945145832004
oddbench,RealEstateBlockType,276,1005,0.14492753623188406,236,0.1901692183721272
oddbench,RealEstateProperties,217,2400,0.3686635944700461,137,0.054000788332655106
oddbench,RemoteSensingAnomalies,1609,2400,1.0,0,0.0
oddbench,RulePriorityAnomalies,1013,1274,0.10760118460019744,904,0.41505968778676994
oddbench,SMSClassification,747,1931,0.06157965194109773,701,0.2663373860181359
oddbench,SalesOrderPriority,3932,2400,0.11113936927772126,3495,0.5928753180660571
oddbench,SalesPerformance,364,1056,0.01098901098901099,360,0.2542372881354137
oddbench,SatelliteAnomaly,75,2010,0.8,15,0.007407407407403749
oddbench,SchoolTypeAnomaly,27,984,0.037037037037037035,26,0.025742574257400255
oddbench,SoftwareQualityMetrics,209,516,0.0,209,0.2882758620685679
oddbench,SystemFailureCases,280,592,0.2642857142857143,206,0.2581453634081978
oddbench,SystemHealth,2300,2400,0.9282608695652174,165,0.06432748538009188
oddbench,TBAnomalyDetection,2079,2400,0.1750841750841751,1715,0.41676792223562165
oddbench,TransactionFeeAnomalies,966,2400,0.025879917184265012,941,0.28165219994005336
oddbench,TransactionService,1396,2400,1.0,0,0.0
oddbench,TreadmillStatus,602,2400,0.009966777408637873,596,0.19893190921221665
oddbench,TrialBehavior,1034,2400,0.06576402321083172,966,0.28698752228155466
oddbench,UserEventAnomalies,230,2400,0.0782608695652174,212,0.08116385911176066
oddbench,UserTrackingAnomalies,166,503,0.10240963855421686,149,0.22852760736161268
oddbench,VoteOutcome,671,2400,0.5737704918032787,286,0.10647803425163571
oddbench,VoteResult,420,1018,1.0,0,0.0
oddbench,WaterChemistry,854,2372,0.3875878220140515,523,0.18065630397230376
oddbench,WaterMeterAnomaly,1595,2400,0.9993730407523511,1,0.0004164931278632168
oddbench,WaterPointFunctionality,524,2400,0.0,524,0.17920656634740792
oddbench,WaterQualityComplaints,172,493,0.040697674418604654,165,0.2507598784190718
oddbench,WeatherEvents,506,2400,0.007905138339920948,502,0.1729841488627936
oddbench,WebTrafficError,433,2400,0.930715935334873,30,0.012345679012340599
oddbench,WindTurbineFault,576,2400,0.003472222222222222,574,0.1930060524545417
oddbench,WindmillAnomaly,236,2400,0.538135593220339,109,0.04344360302907794
oddbench,WindowsEditionAnomaly,479,2400,0.12317327766179541,420,0.14893617021271313
oddbench,WorkforceDemographics,460,2400,0.8130434782608695,86,0.03459372485919767
oddbench,ZookeeperLogs,617,2400,0.04376012965964344,590,0.19732441471565307
ovrbench,AbstractAnomalyBatch,422,2400,0.2985781990521327,296,0.10979228486642811
ovrbench,ActivityRecognition,176,1059,1.0,0,0.0
ovrbench,AirPressure,1000,2400,0.0,1000,0.29411764705873705
ovrbench,AmazonReviewAnomalies,1564,2400,0.08312020460358056,1434,0.37402190923307926
ovrbench,BCellImmunity,699,2400,0.17310443490701002,578,0.1940899932840181
ovrbench,BNG(cmc),4574,2400,0.03541757761259292,4412,0.6476805637110029
ovrbench,BankruptcyForecast,203,2400,0.07389162561576355,188,0.07264296754247579
ovrbench,BatchProcessingEvents,1394,2400,0.4131994261119082,818,0.2541951522684108
ovrbench,BoundingBoxClassification,15088,2400,0.7356177094379639,3989,0.6243543590545274
ovrbench,BoxTracking,3426,2400,0.975189725627554,85,0.034205231388316215
ovrbench,BrainEEGSignals,250,440,0.076,231,0.3442622950814542
