corpus,dataset,truefam,n_val,n_tr,reg_V,reg_T,reg_TV
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,global,2265,7186,0.2014,0.2263,0.2261
adbench,19_landsat,local,1020,3061,0.0037,0.0037,0.0037
ovrbench,SpatialAnomalies,local,511,1531,0.0242,0.0000,0.0242
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,local,2055,7271,0.0000,0.0626,0.0000
oddbench,RulePriorityAnomalies,global,637,1911,0.0048,0.0048,0.0103
oddbench,WaterChemistry,local,1186,3557,0.0938,0.0938,0.0938
ovrbench,EmployeePerformance,local,1200,3600,0.0914,0.0146,0.8766
ovrbench,SepsisMonitoring,local,1200,3600,0.0736,0.0736,0.0736
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,global,2650,8068,0.0836,0.1119,0.1119
ovrbench,BatchProcessingEvents,local,1200,3600,0.0815,0.0000,0.0815
ovrbench,PhysicsTraining,local,1200,3600,0.1373,0.1635,0.1635
ovrbench,volkert,global,1200,3600,0.2675,0.4899,0.2675
ovrbench,FireRiskAnalysis,global,1200,3600,0.0316,0.0313,0.0316
adbench,30_satellite,global,880,2639,0.1863,0.1863,0.1863
oddbench,AttackIncidents,local,901,2703,0.0402,0.0607,0.0402
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,local,2873,8188,0.0787,0.1307,0.0787
ovrbench,RealEstateData,global,743,2229,0.2035,0.2035,0.2035
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,local,2659,8173,0.0000,0.0000,0.0000
oddbench,RacingMotion,local,1200,3600,0.9391,0.6805,0.6805
ovrbench,CryptojackingSystem,local,1200,3600,0.1890,0.0381,0.0381
ovrbench,CreditScoringAnomalies,local,1200,3600,0.2575,0.0814,0.2288
oddbench,LandShapeAnomaly,global,709,2127,0.0000,0.1037,0.0000
ovrbench,XSSDetection,global,1200,3600,0.6609,0.3583,0.3583
ovrbench,NetworkHealthMonitor,local,1200,3600,0.0184,0.0493,0.0184
oddbench,OkCupidUserBehavior,local,565,1693,0.0559,0.0390,0.0390
tsbad_m,087_SVDB_id_4_Medical_tr_5421_1st_5521.c,local,2577,7654,0.0071,0.0071,0.0071
ovrbench,KDD,global,503,1509,0.0111,0.0111,0.0111
tsbad_m,110_SVDB_id_27_Medical_tr_30824_1st_3092,local,2735,8230,0.0000,0.0165,0.0000
oddbench,PoliceForceDisturbance,local,1200,3600,0.3046,0.3046,0.3046
tsbad_m,095_SVDB_id_12_Medical_tr_6264_1st_6364.,local,2675,8103,0.0000,0.0015,0.0169
ovrbench,WebpageSessionIntrusion,local,1200,3600,0.1495,0.1495,0.1495
tsbad_m,142_CATSv2_id_5_Sensor_tr_30704_1st_3080,global,3834,12688,0.1288,0.1385,0.1385
ovrbench,UrlAnalysis,global,636,1908,0.7469,0.7469,0.7469
oddbench,CourseRegistration,local,1200,3600,0.2183,0.2183,0.2183
tsbad_m,107_SVDB_id_24_Medical_tr_32805_1st_3290,local,2697,8005,0.0000,0.0000,0.0000
dami,Annthyroid,global,1200,3600,0.0000,0.0000,0.0000
oddbench,GPUResourceUsage,local,1200,3600,0.5519,0.3677,0.4984
ovrbench,KenyaMovement,local,1200,3600,0.0708,0.0682,0.0682
oddbench,DiamondClarity,local,1200,3600,0.7508,0.0000,0.7508
oddbench,HealthBehavior,global,959,2877,0.0208,0.0392,0.0392
ovrbench,ShillBidding,global,1129,3387,0.0000,0.1148,0.1148
oddbench,SalesPerformance,global,528,1582,0.1821,0.2276,0.1641
tsbad_m,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,global,2358,7088,0.1865,0.2146,0.1865
oddbench,HumanRobotCollaboration,local,1200,3600,0.0065,0.0000,0.0000
oddbench,VoteOutcome,local,1200,3600,0.1056,0.1056,0.0375
oddbench,EmailSpamDetection,global,482,1446,0.4264,0.5084,0.5084
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,local,4696,12247,0.0208,0.0980,0.0208
ovrbench,SyntheticNumericalBatch,local,988,2962,0.0000,0.0000,0.0000
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,local,2791,8140,0.0000,0.0221,0.0000
ovrbench,Run_or_walk_information,local,1200,3600,0.0282,0.0000,0.5060
tsbad_m,141_CATSv2_id_4_Sensor_tr_41727_1st_4182,global,2317,7016,0.1642,0.1334,0.1516
ovrbench,FinancialTransaction1,global,1200,3600,0.0574,0.0232,0.1080
oddbench,ArtSalesPlatform,global,1200,3600,0.1607,0.1031,0.1607
tsbad_m,103_SVDB_id_20_Medical_tr_12167_1st_1226,local,2779,7901,0.0000,0.0038,0.0000
ovrbench,AbstractAnomalyBatch,local,1200,3600,0.8824,0.9317,0.9317
ovrbench,visualizing_soil,global,951,2851,0.5770,0.6557,0.5770
ovrbench,GamingBehavior,local,1000,3000,0.3947,0.4305,0.3947
oddbench,GeneticAnalysis,global,1111,3333,0.0426,0.0164,0.0164
oddbench,AxieInfinityBug,global,1200,3600,0.0186,0.0688,0.0688
oddbench,RealEstateBlockType,global,502,1507,0.0417,0.0417,0.0417
oddbench,WaterPointFunctionality,local,1200,3600,0.0577,0.0000,0.0446
oddbench,SMSClassification,global,965,2896,0.4202,0.4521,0.4521
ovrbench,KPIData,local,1200,3600,0.0900,0.0000,0.0646
ovrbench,ShuttleOperations,local,1200,3600,0.0000,0.0000,0.0164
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,global,2835,8415,0.0482,0.0482,0.0482
oddbench,CasePriority,local,1200,3600,0.1629,0.1629,0.1629
dami,Wilt,local,912,2737,0.2178,0.1864,0.2178
adbench,44_Wilt,local,912,2737,0.4457,0.0000,0.4457
ovrbench,SpotifyHitPredictor,global,640,1919,0.0804,0.0572,0.0804
oddbench,TreadmillStatus,local,1200,3600,0.2680,0.3149,0.5620
ovrbench,students_dropout_and_academic_success,local,442,1325,0.0998,0.0998,0.0998
ovrbench,MalariaDetection,global,1200,3600,0.8291,0.8296,0.8296
ovrbench,GesturePhaseSegmentationProcessed,local,590,1770,0.0207,0.0207,0.0207
ovrbench,HealthMetrics,local,972,2916,0.0711,0.1029,0.0537
oddbench,BugSeverity,global,511,1533,0.1176,0.1176,0.0033
tsbad_m,084_SVDB_id_1_Medical_tr_12973_1st_13073,local,2833,8267,0.0243,0.0243,0.0243
oddbench,LandRarity,global,561,1681,0.0000,0.0000,0.0000
oddbench,ProgrammingAnomalies,local,1200,3600,0.2600,0.2600,0.2600
oddbench,WindowsEditionAnomaly,global,1200,3600,0.4002,0.4002,0.4002
ovrbench,BankruptcyForecast,global,1200,3600,0.0982,0.0982,0.0982
ovrbench,seismic-bumps,local,483,1448,0.0460,0.1304,0.0460
tsbad_m,143_CATSv2_id_6_Sensor_tr_50000_1st_6023,global,2493,7268,0.1230,0.1694,0.1230
tsbad_m,108_SVDB_id_25_Medical_tr_1238_1st_1338.,local,2682,8208,0.0000,0.0382,0.0000
tsbad_m,104_SVDB_id_21_Medical_tr_50000_1st_1066,local,2852,8352,0.0675,0.0675,0.0675
oddbench,CarMakeAnomaly,local,1200,3600,0.0397,0.0397,0.0397
ovrbench,mozilla4,local,1200,3600,0.0533,0.0608,0.0608
oddbench,FishingAnomalies,local,1200,3600,0.2302,0.2302,0.2302
oddbench,AquaticMacroInverts,global,416,1248,0.0706,0.5408,0.0706
oddbench,UserEventAnomalies,global,1200,3600,0.0000,0.7889,0.7889
oddbench,RealEstateProperties,local,1200,3600,0.0660,0.0660,0.0660
tsbad_m,053_GHL_id_22_Sensor_tr_50000_1st_126448,local,2493,7039,0.3133,0.2660,0.2823
ovrbench,HeadingDetection,local,1200,3600,0.3503,0.3503,0.3095
adbench,27_PageBlocks,local,977,2929,0.0425,0.0425,0.0425
dami,PageBlocks,local,977,2929,0.0237,0.0237,0.1035
tsbad_m,138_CATSv2_id_1_Sensor_tr_16568_1st_1666,local,1243,3670,0.0402,0.1910,0.0402
oddbench,AustinCrime,local,928,2785,0.1463,0.1422,0.1112
ovrbench,thyroid-ann,global,698,2092,0.0552,0.2277,0.0571
ovrbench,GeneExpressionCoactivator,global,687,2060,0.0498,0.1021,0.0498
adbench,23_mammography,global,1200,3600,0.0222,0.0835,0.0222
