corpus,dataset,edge_recall,hist_recall,hist_extra,fp_edge,fp_hist
ovrbench,SepsisMonitoring,0.0,0.108,0.108,0.0,0.046
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,0.385,0.411,0.045,0.048,0.05
oddbench,HealthPulse,0.248,0.045,0.025,0.05,0.05
ovrbench,FICO-HELOC-cleaned,0.0,0.052,0.052,0.0,0.04
ovrbench,BatchProcessingEvents,0.401,0.119,0.019,0.029,0.044
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,0.449,0.46,0.066,0.048,0.043
ovrbench,FinancialMetricsAnomaly,0.114,0.096,0.062,0.048,0.043
adbench,30_satellite,0.578,0.612,0.037,0.049,0.048
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,0.215,0.195,0.026,0.05,0.046
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,0.593,0.612,0.03,0.049,0.047
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,0.573,0.534,0.029,0.048,0.044
ovrbench,volkert,0.0,0.0,0.0,0.0,0.0
ovrbench,philippine,0.0,0.0,0.0,0.0,0.0
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,0.544,0.505,0.028,0.047,0.042
oddbench,FantasyFootball,0.0,0.028,0.028,0.0,0.038
oddbench,SMSClassification,0.0,0.639,0.639,0.0,0.041
ovrbench,UrlAnalysis,0.146,0.253,0.182,0.046,0.05
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,0.123,0.058,0.012,0.049,0.05
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,0.59,0.6,0.032,0.049,0.042
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,0.543,0.505,0.013,0.05,0.046
ovrbench,TwitterEmotion,0.094,0.057,0.042,0.049,0.028
oddbench,TreadmillStatus,0.007,0.0,0.0,0.049,0.032
tsbad_m,137_CreditCard_id_1_Finance_tr_500_1st_5,0.228,0.0,0.0,0.048,0.0
ovrbench,BCellImmunity,0.054,0.17,0.13,0.041,0.04
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,0.613,0.485,0.038,0.048,0.048
ovrbench,GesturePhaseSegmentationProcessed,0.1,0.0,0.0,0.047,0.0
ovrbench,SpatialAnomalies,0.143,0.122,0.017,0.048,0.04
oddbench,AttackIncidents,0.0,0.078,0.078,0.0,0.047
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,0.133,0.124,0.029,0.049,0.043
ovrbench,BreastCancer,0.133,0.109,0.041,0.048,0.037
oddbench,WaterPointFunctionality,0.0,0.029,0.029,0.0,0.048
oddbench,WaterChemistry,0.368,0.238,0.04,0.049,0.045
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,0.333,0.332,0.034,0.05,0.039
ovrbench,RealEstateData,0.0,0.0,0.0,0.0,0.044
dami,Annthyroid,0.0,0.464,0.464,0.0,0.044
oddbench,EmailSpamDetection,0.0,0.0,0.0,0.0,0.0
tsbad_m,110_SVDB_id_27_Medical_tr_30824_1st_3092,0.281,0.204,0.011,0.049,0.037
oddbench,FishingAnomalies,0.01,0.052,0.041,0.003,0.05
tsbad_m,087_SVDB_id_4_Medical_tr_5421_1st_5521.c,0.606,0.433,0.015,0.047,0.036
oddbench,AquaticMacroInverts,0.0,0.055,0.055,0.0,0.021
ovrbench,ShillBidding,0.0,0.466,0.466,0.0,0.04
oddbench,ArtSalesPlatform,0.236,0.089,0.042,0.046,0.047
ovrbench,KDD,0.052,0.028,0.022,0.042,0.044
ovrbench,page-blocks,0.0,0.613,0.613,0.0,0.048
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,0.363,0.242,0.012,0.048,0.044
oddbench,WindowsEditionAnomaly,0.0,0.282,0.282,0.0,0.045
ovrbench,CryptojackingSystem,0.142,0.278,0.194,0.041,0.046
tsbad_m,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,0.0,0.115,0.115,0.0,0.033
tsbad_m,095_SVDB_id_12_Medical_tr_6264_1st_6364.,0.371,0.25,0.017,0.048,0.046
tsbad_m,103_SVDB_id_20_Medical_tr_12167_1st_1226,0.259,0.31,0.117,0.049,0.049
tsbad_m,107_SVDB_id_24_Medical_tr_32805_1st_3290,0.327,0.225,0.005,0.049,0.044
oddbench,LandShapeAnomaly,0.106,0.176,0.102,0.05,0.051
tsbad_m,108_SVDB_id_25_Medical_tr_1238_1st_1338.,0.558,0.657,0.142,0.049,0.046
oddbench,OkCupidUserBehavior,0.065,0.08,0.048,0.05,0.047
adbench,27_PageBlocks,0.0,0.727,0.727,0.0,0.05
dami,PageBlocks,0.0,0.727,0.727,0.0,0.05
ovrbench,KPIData,0.018,0.044,0.044,0.05,0.048
tsbad_m,141_CATSv2_id_4_Sensor_tr_41727_1st_4182,0.0,0.305,0.305,0.0,0.034
oddbench,SalesPerformance,0.0,0.08,0.08,0.0,0.04
ovrbench,KenyaMovement,0.087,0.107,0.025,0.05,0.049
ovrbench,FinancialTransaction1,0.026,0.072,0.049,0.028,0.049
ovrbench,SyntheticNumericalBatch,0.042,0.033,0.003,0.05,0.049
ovrbench,GamingBehavior,0.0,0.35,0.35,0.0,0.043
ovrbench,ECGAnomaly,0.978,0.0,0.0,0.046,0.0
oddbench,AxieInfinityBug,0.042,0.03,0.009,0.049,0.048
tsbad_m,173_GECCO_id_1_Sensor_tr_16165_1st_16265,0.0,0.961,0.961,0.0,0.039
oddbench,LandRarity,0.0,0.204,0.204,0.0,0.046
oddbench,HealthBehavior,0.151,0.112,0.069,0.049,0.039
ovrbench,SpotifyHitPredictor,0.0,0.504,0.504,0.0,0.034
ovrbench,UserInteraction1,0.734,0.834,0.101,0.023,0.041
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,0.65,0.683,0.063,0.049,0.047
ovrbench,AbstractAnomalyBatch,0.303,0.092,0.021,0.047,0.05
oddbench,VoteOutcome,0.599,0.613,0.045,0.047,0.048
tsbad_m,143_CATSv2_id_6_Sensor_tr_50000_1st_6023,0.0,0.137,0.137,0.0,0.028
ovrbench,students_dropout_and_academic_success,0.048,0.147,0.125,0.05,0.042
ovrbench,visualizing_soil,0.095,0.232,0.207,0.048,0.05
oddbench,CasePriority,0.019,0.204,0.193,0.05,0.049
adbench,44_Wilt,0.027,0.004,0.0,0.049,0.05
oddbench,GeneticAnalysis,0.152,0.111,0.01,0.05,0.042
dami,Wilt,0.027,0.004,0.0,0.049,0.05
oddbench,ProgrammingAnomalies,0.122,0.074,0.015,0.049,0.046
oddbench,RealEstateBlockType,0.094,0.112,0.051,0.045,0.048
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,0.14,0.061,0.013,0.049,0.043
ovrbench,HealthMetrics,0.08,0.133,0.092,0.047,0.05
tsbad_m,084_SVDB_id_1_Medical_tr_12973_1st_13073,0.295,0.314,0.051,0.047,0.05
oddbench,UserEventAnomalies,0.083,0.135,0.057,0.045,0.047
oddbench,BugSeverity,0.0,0.145,0.145,0.0,0.031
ovrbench,mozilla4,0.815,0.03,0.001,0.05,0.048
ovrbench,BankruptcyForecast,0.054,0.039,0.01,0.046,0.034
oddbench,CarMakeAnomaly,0.108,0.148,0.084,0.041,0.05
ovrbench,ozone-level-8hr,0.075,0.031,0.019,0.046,0.034
