corpus,dataset,n_hard,base_rate,oracle_apnorm,reg_beta1,reg_matched,reg_random,truefam
tsbad_m,173_GECCO_id_1_Sensor_tr_16165_1st_16265,311,0.155,0.886,0.6334083933655382,0.6334083933655382,0.3735366977831559,global
oddbench,LandRarity,309,0.355,0.143,0.0,0.0,0.18589029640394744,global
oddbench,HealthBehavior,307,0.242,0.093,0.017073535185780725,0.017073535185780725,0.05544682623751631,global
ovrbench,SpotifyHitPredictor,307,0.324,0.621,0.04366579212508037,0.04366579212508037,0.21175438591941398,global
ovrbench,UserInteraction1,441,0.269,0.826,0.0030482081586907794,0.0030482081586907794,0.4820985371086393,global
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,305,0.108,0.33,0.0,0.0,0.18517401472906994,local
ovrbench,AbstractAnomalyBatch,310,0.205,0.895,0.8058663363459465,0.8896018979570255,0.5857285942971581,local
oddbench,VoteOutcome,283,0.191,0.829,0.15255847389993338,0.15255847389993338,0.5856972247481032,local
tsbad_m,143_CATSv2_id_6_Sensor_tr_50000_1st_6023,277,0.103,0.566,0.21986006224912208,0.21986006224912208,0.3061866022996638,global
ovrbench,students_dropout_and_academic_success,269,0.378,0.507,0.2890711124279042,0.2890711124279042,0.20841787027602177,local
ovrbench,visualizing_soil,266,0.219,0.86,0.5620786881241329,0.5620786881241329,0.5686116927034481,global
oddbench,CasePriority,267,0.182,0.435,0.18555970528341356,0.18555970528341356,0.21619329331996887,global
adbench,44_Wilt,252,0.216,0.671,0.18830805890822283,0.4456969079747201,0.6108857400875931,local
oddbench,GeneticAnalysis,252,0.185,0.084,0.050001299720510886,0.050001299720510886,0.0835514300039031,global
dami,Wilt,252,0.216,0.173,0.0,0.23035949055871335,0.22179002396131536,local
oddbench,ProgrammingAnomalies,246,0.17,0.16,0.19048690608128596,0.23390773471162363,0.17170806248313866,local
oddbench,RealEstateBlockType,236,0.319,0.111,0.013576149136861962,0.03955310497969605,0.09934738499870868,global
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,229,0.075,0.06,0.04822041738971427,0.04822041738971427,0.05892636480269238,global
ovrbench,HealthMetrics,223,0.186,0.106,0.10511587901240965,0.06363147801225338,0.07625438229603097,global
tsbad_m,084_SVDB_id_1_Medical_tr_12973_1st_13073,219,0.071,0.09,0.049858400583505165,0.049858400583505165,0.057716245113520456,local
oddbench,UserEventAnomalies,218,0.154,1.0,0.0,0.4799511062258134,0.8614541066207725,global
oddbench,BugSeverity,209,0.29,0.162,0.0008911936888027494,0.0008911936888027494,0.09490298729702594,global
ovrbench,mozilla4,190,0.137,0.078,0.0692642402163373,0.0692642402163373,0.06116466384126776,local
ovrbench,BankruptcyForecast,195,0.14,0.073,0.05097291358442584,0.05097291358442584,0.059192935279415,global
oddbench,CarMakeAnomaly,171,0.125,0.096,0.04554838475502943,0.053183453332361526,0.07257704552199606,local
ovrbench,ozone-level-8hr,156,0.247,0.168,0.03987688812468024,0.03987688812468024,0.16914885942237512,local
ovrbench,seismic-bumps,155,0.243,0.169,0.14209424124453052,0.04691919129156304,0.07335708119314438,local
tsbad_m,104_SVDB_id_21_Medical_tr_50000_1st_1066,164,0.054,0.238,0.08482490561589348,0.08482490561589348,0.1736773736206163,local
oddbench,AustinCrime,150,0.139,0.174,0.171608875166443,0.171608875166443,0.11361876031814769,local
ovrbench,GeneExpressionCoactivator,143,0.172,0.505,0.38406440660224905,0.05196336966047549,0.1977451710635456,global
oddbench,RealEstateProperties,137,0.102,0.188,0.04666058080456248,0.04451598365041623,0.08387519880027697,local
tsbad_m,138_CATSv2_id_1_Sensor_tr_16568_1st_1666,137,0.104,0.563,0.1352131564090972,0.1352131564090972,0.2833248558505991,local
ovrbench,thyroid-ann,121,0.148,0.344,0.2671617650955702,0.32586900214310005,0.24333084152893197,global
adbench,23_mammography,126,0.095,0.259,0.07831803351640129,0.07831803351640129,0.13075541627301474,global
oddbench,DeveloperSurvey,119,0.155,0.175,0.11981340917638333,0.11981340917638333,0.08778774884479709,global
oddbench,GenomicSequencing,117,0.189,0.647,0.6288899302816394,0.6288899302816394,0.48298062662221725,global
