corpus,dataset,n_anom,n_norm,d,frac_triv,n_hard,rec_hard,fp_hard,rec_soft,fp_soft,rec_cal,fp_cal,net_soft,net_cal,fp
oddbench,AquaticMacroInverts,469,833,23,0.023454157782515993,458,0.509594882729211,0.02040816326530612,0.6375266524520256,0.19807923169267708,0.5309168443496801,0.04201680672268908,0.4394474207593485,0.488900037626991,23|e3fe7ff184|18ad3d803e
oddbench,ArchaeologicalAnomalies,118,402,3,0.01694915254237288,116,0.0,0.014925373134328358,0.025423728813559324,0.0472636815920398,0.01694915254237288,0.03731343283582089,-0.021839952778480477,-0.02036428029344801,3|9c21070bc0|69c4b13bfa
oddbench,ArtCollections,104,2400,3,0.057692307692307696,98,0.0,0.002916666666666667,0.15384615384615385,0.0375,0.15384615384615385,0.03166666666666667,0.11634615384615385,0.12217948717948718,3|95d4ffb6b3|cee024a579
oddbench,ArtSalesPlatform,495,2400,4,0.09090909090909091,450,0.00202020202020202,0.0004166666666666667,0.2767676767676768,0.04666666666666667,0.13333333333333333,0.023333333333333334,0.2301010101010101,0.11,4|bd4ee9b9f9|d884ae597a
oddbench,AttackIncidents,550,1803,6,0.005454545454545455,547,0.0018181818181818182,0.0027731558513588465,0.06363636363636363,0.050471436494731,0.025454545454545455,0.01608430393788131,0.013164927141632629,0.009370241516664147,6|f6d8fac96d|c317a43d71
oddbench,AustinCrime,204,1857,4,0.2647058823529412,150,0.014705882352941176,0.0026925148088314485,0.2647058823529412,0.05492730210016155,0.2107843137254902,0.031771674744211095,0.20977858025277962,0.17901263898127912,4|56f3362f96|d2c018b31f
oddbench,AxieInfinityBug,332,2400,8,0.05120481927710843,315,0.018072289156626505,0.004166666666666667,0.06325301204819277,0.09791666666666667,0.04819277108433735,0.04375,-0.0346636546184739,0.004442771084337355,8|2ac85378dc|4f111cbba3
oddbench,BarExamPrediction,1038,2400,10,0.023121387283236993,1014,0.07321772639691715,0.00375,0.3892100192678227,0.09333333333333334,0.1994219653179191,0.02875,0.2958766859344894,0.1706719653179191,10|cd9649be5d|20282d5bbb
oddbench,BaseballBattedBall,95,677,8,0.12631578947368421,83,0.05263157894736842,0.014771048744460856,0.17894736842105263,0.11816838995568685,0.08421052631578947,0.033973412112259974,0.060778978465365785,0.0502371142035295,8|a4a98266d6|b562588493
oddbench,BaseballPitchingAnomalies,272,522,38,0.0,272,0.9595588235294118,0.05555555555555555,0.9926470588235294,0.43103448275862066,0.9632352941176471,0.08620689655172414,0.5616125760649088,0.877028397565923,38|8f5ae3d81f|00684d52be
oddbench,BugSeverity,228,1023,22,0.08333333333333333,209,0.021929824561403508,0.006842619745845552,0.2543859649122807,0.12512218963831867,0.07017543859649122,0.024437927663734114,0.12926377527396204,0.04573751093275711,22|733e2e9cf9|8c32a7501e
oddbench,BuildingEnergyCompliance,110,957,25,0.0,110,0.03636363636363636,0.022988505747126436,0.15454545454545454,0.19540229885057472,0.045454545454545456,0.03970741901776385,-0.04085684430512018,0.005747126436781609,25|647e0e5196|c3dc38fa10
oddbench,BuildingInspections,2935,2400,5,0.5141396933560477,1426,0.00034071550255536625,0.0020833333333333333,0.5328790459965929,0.06875,0.11141396933560477,0.03,0.4641290459965929,0.08141396933560477,5|3b188946d2|dd30716b7b
oddbench,BusStopPrior,59,2067,6,0.1016949152542373,53,0.01694915254237288,0.001451378809869376,0.11864406779661017,0.06095791001451379,0.1016949152542373,0.023222060957910014,0.05768615778209638,0.07847285429632728,6|97f127e5b2|ae7c2336e7
oddbench,BusTracking,314,693,8,0.35668789808917195,202,0.20382165605095542,0.010101010101010102,0.36942675159235666,0.1240981240981241,0.34394904458598724,0.031746031746031744,0.24532862749423257,0.3122030128399555,8|6b6c782e43|2f5914f2dd
