corpus,dataset,truefam,reg_binary,reg_maxdisagree,reg_alpha_localev,reg_bestalpha_oracle,mean_band_frac
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,local,0.0187,0.0187,0.0986,0.0187,0.847
ovrbench,FICO-HELOC-cleaned,local,0.2123,0.2123,0.2123,0.0397,0.441
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,local,0.0319,0.0319,0.0319,0.0000,0.955
oddbench,TrialBehavior,global,0.1629,0.1629,0.1629,0.1629,0.770
ovrbench,compass,local,0.1690,0.1690,0.1653,0.1631,0.695
ovrbench,KickstarterCampaigns,local,0.3056,0.3255,0.3056,0.3056,0.817
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,global,0.2263,0.2014,0.2014,0.1857,0.156
adbench,19_landsat,local,0.0037,0.0037,0.0037,0.0037,0.794
ovrbench,SpatialAnomalies,local,0.0000,0.0000,0.0242,0.0000,0.780
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,local,0.0000,0.0000,0.0000,0.0000,0.957
oddbench,RulePriorityAnomalies,global,0.0103,0.0103,0.0103,0.0103,0.908
oddbench,WaterChemistry,local,0.0938,0.0938,0.0938,0.0000,0.928
ovrbench,EmployeePerformance,local,0.8766,0.8766,0.0914,0.0914,0.581
ovrbench,SepsisMonitoring,local,0.1166,0.1166,0.1166,0.0736,0.802
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,global,0.0836,0.0836,0.0836,0.0836,0.947
ovrbench,BatchProcessingEvents,local,0.0083,0.0083,0.0672,0.0083,0.287
ovrbench,PhysicsTraining,local,0.1838,0.1838,0.1838,0.0171,0.399
ovrbench,volkert,global,0.2675,0.2675,0.2675,0.2675,0.813
ovrbench,FireRiskAnalysis,global,0.0368,0.0368,0.0368,0.0276,0.896
adbench,30_satellite,global,0.1863,0.1863,0.1863,0.1863,0.776
oddbench,AttackIncidents,local,0.1038,0.1038,0.1038,0.0347,0.532
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,local,0.0787,0.0787,0.1060,0.0787,0.820
ovrbench,RealEstateData,global,0.2035,0.2035,0.2035,0.2035,0.619
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,local,0.0422,0.0422,0.0422,0.0000,0.943
oddbench,RacingMotion,local,0.9391,0.9391,0.9391,0.4589,0.780
ovrbench,CryptojackingSystem,local,0.0381,0.0381,0.1890,0.0381,0.698
ovrbench,CreditScoringAnomalies,local,0.2030,0.2030,0.2030,0.0097,0.235
oddbench,LandShapeAnomaly,global,0.1771,0.1771,0.0000,0.0000,0.658
ovrbench,XSSDetection,global,0.8002,0.8002,0.6609,0.1128,0.536
ovrbench,NetworkHealthMonitor,local,0.0261,0.0261,0.0261,0.0000,0.772
oddbench,OkCupidUserBehavior,local,0.0109,0.0109,0.0109,0.0000,0.439
tsbad_m,087_SVDB_id_4_Medical_tr_5421_1st_5521.c,local,0.0000,0.0000,0.0000,0.0000,0.882
ovrbench,KDD,global,0.1165,0.1165,0.1200,0.0111,0.665
tsbad_m,110_SVDB_id_27_Medical_tr_30824_1st_3092,local,0.0165,0.0165,0.0165,0.0000,0.697
oddbench,PoliceForceDisturbance,local,0.3434,0.3434,0.3434,0.1266,0.723
tsbad_m,095_SVDB_id_12_Medical_tr_6264_1st_6364.,local,0.0015,0.0015,0.0000,0.0000,0.847
ovrbench,WebpageSessionIntrusion,local,0.0000,0.1421,0.1495,0.0000,0.451
tsbad_m,142_CATSv2_id_5_Sensor_tr_30704_1st_3080,global,0.1182,0.1182,0.1182,0.0000,0.018
ovrbench,UrlAnalysis,global,0.8034,0.8034,0.8034,0.1417,0.652
oddbench,CourseRegistration,local,0.2084,0.2084,0.2084,0.2084,0.658
tsbad_m,107_SVDB_id_24_Medical_tr_32805_1st_3290,local,0.0158,0.0158,0.0158,0.0000,0.934
dami,Annthyroid,global,0.0000,0.0000,0.0000,0.0000,0.489
oddbench,GPUResourceUsage,local,0.3025,0.3025,0.5071,0.3025,0.578
ovrbench,KenyaMovement,local,0.0000,0.0369,0.0738,0.0000,0.855
oddbench,DiamondClarity,local,0.0648,0.0648,0.0000,0.0000,0.760
oddbench,HealthBehavior,global,0.0032,0.0032,0.0208,0.0032,0.680
ovrbench,ShillBidding,global,0.0000,0.0000,0.0000,0.0000,0.687
oddbench,SalesPerformance,global,0.0669,0.0669,0.0669,0.0669,0.695
tsbad_m,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,global,0.1865,0.1865,0.1865,0.1865,0.009
oddbench,HumanRobotCollaboration,local,0.0065,0.0065,0.0065,0.0065,0.983
oddbench,VoteOutcome,local,0.1056,0.1056,0.0030,0.0030,0.862
oddbench,EmailSpamDetection,global,0.5084,0.5084,0.4146,0.4146,0.757
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,local,0.2756,0.2756,0.3110,0.0208,0.213
ovrbench,SyntheticNumericalBatch,local,0.0000,0.0000,0.0000,0.0000,0.802
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,local,0.0126,0.0126,0.0126,0.0068,0.874
ovrbench,Run_or_walk_information,local,0.0325,0.0325,0.5060,0.0282,0.578
tsbad_m,141_CATSv2_id_4_Sensor_tr_41727_1st_4182,global,0.4658,0.4658,0.4658,0.1516,0.175
ovrbench,FinancialTransaction1,global,0.0738,0.0738,0.0738,0.0574,0.182
oddbench,ArtSalesPlatform,global,0.1031,0.1031,0.1031,0.1031,0.728
tsbad_m,103_SVDB_id_20_Medical_tr_12167_1st_1226,local,0.0000,0.0000,0.0000,0.0000,0.612
ovrbench,AbstractAnomalyBatch,local,0.8824,0.8824,0.8824,0.8824,0.838
ovrbench,visualizing_soil,global,0.6557,0.6557,0.5770,0.5770,0.756
ovrbench,GamingBehavior,local,0.3010,0.3010,0.3010,0.3010,0.658
oddbench,GeneticAnalysis,global,0.0164,0.0164,0.0174,0.0164,0.917
oddbench,AxieInfinityBug,global,0.0862,0.0862,0.0862,0.0360,0.915
oddbench,RealEstateBlockType,global,0.0417,0.0417,0.0417,0.0417,0.675
oddbench,WaterPointFunctionality,local,0.0000,0.0000,0.0446,0.0000,0.908
oddbench,SMSClassification,global,0.4202,0.4202,0.4202,0.0000,0.709
ovrbench,KPIData,local,0.0900,0.0900,0.0850,0.0850,0.732
ovrbench,ShuttleOperations,local,0.0000,0.0000,0.0000,0.0000,0.747
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,global,0.0482,0.0482,0.0482,0.0482,0.561
oddbench,CasePriority,local,0.1915,0.1915,0.1915,0.0655,0.821
dami,Wilt,local,0.1864,0.0000,0.2304,0.0000,0.889
adbench,44_Wilt,local,0.0000,0.0000,0.4457,0.0000,0.889
ovrbench,SpotifyHitPredictor,global,0.0572,0.0572,0.0572,0.0572,0.632
oddbench,TreadmillStatus,local,0.3149,0.3149,0.6529,0.3149,0.978
ovrbench,students_dropout_and_academic_success,local,0.0998,0.0998,0.0998,0.0395,0.226
ovrbench,MalariaDetection,global,0.8296,0.8296,0.1911,0.1911,0.391
ovrbench,GesturePhaseSegmentationProcessed,local,0.0000,0.0000,0.0207,0.0000,0.739
ovrbench,HealthMetrics,local,0.0537,0.0638,0.0537,0.0537,0.650
oddbench,BugSeverity,global,0.0033,0.0033,0.0033,0.0033,0.540
tsbad_m,084_SVDB_id_1_Medical_tr_12973_1st_13073,local,0.0243,0.0243,0.0000,0.0000,0.874
oddbench,LandRarity,global,0.0000,0.0000,0.0000,0.0000,0.841
oddbench,ProgrammingAnomalies,local,0.0109,0.0109,0.2238,0.0109,0.719
oddbench,WindowsEditionAnomaly,global,0.5392,0.5392,0.4002,0.1079,0.374
ovrbench,BankruptcyForecast,global,0.0982,0.0982,0.0982,0.0982,0.845
ovrbench,seismic-bumps,local,0.1136,0.1136,0.0460,0.0001,0.880
tsbad_m,143_CATSv2_id_6_Sensor_tr_50000_1st_6023,global,0.1230,0.1230,0.4028,0.1230,0.000
