corpus,dataset,n_norm,n_anom,n_hard,frac_triv,n_eff,point_anom,fp
oddbench,HumanObjectInteraction,655,317,140,0.5583596214511041,135,False,5|9dfded7d93|c58aafa0c5
oddbench,HumanRobotCollaboration,2400,1883,1728,0.08231545406266595,248,False,3|0515b43795|f412a5d928
oddbench,HurricaneTracks,1748,32,23,0.28125,19,False,7|ebb5c9608e|b3a832f153
oddbench,LandRarity,1122,378,295,0.21957671957671956,171,False,7|9e2498084d|019b62a332
oddbench,LandShapeAnomaly,1419,490,378,0.22857142857142856,346,False,11|f05318ca37|2247ecbdc6
oddbench,MedicalClassificationAnomalies,2400,2063,1,0.9995152690256908,1,False,4|85a0c13133|e8f2318e63
oddbench,MouseInteractionPhase,2400,3246,154,0.9525569932224276,86,False,5|ecde4a8bf5|ebd00ddcfb
oddbench,MusicGenreAnomaly,730,32,13,0.59375,9,False,13|0bed18c399|d50e662fd7
oddbench,NavigationBugReport,422,48,0,1.0,0,False,8|a3ed383dda|cab6fa4c1a
oddbench,NetworkFlowAnomalies,1931,149,0,1.0,0,False,6|3032b3be63|678aae9e71
oddbench,OkCupidUserBehavior,1130,415,374,0.09879518072289156,334,False,4|c27bf6fe81|cc5ec83a0b
oddbench,PTENPhosphatase,2400,442,0,1.0,0,False,18|054b427efb|1b4c244cc8
oddbench,PatientStatusTracking,1363,31,28,0.0967741935483871,28,False,6|cd87e1f7f8|028e63380d
oddbench,PoliceArrestFraud,491,20,13,0.35,10,False,3|c440ac3220|a3e61c404e
oddbench,PoliceForceDisturbance,2400,2147,2034,0.05263157894736842,321,False,18|7476a628c5|6065ff1d62
oddbench,ProductionRunStatus,2400,918,290,0.6840958605664488,25,False,7|fb68a32570|f97fcf52cf
oddbench,ProgrammingAnomalies,2400,271,242,0.1070110701107011,171,False,6|c0fc239de0|3bde561bcb
oddbench,PropertyCondition,2400,5152,4886,0.051630434782608696,483,False,7|e3bf51bf24|004525e993
oddbench,ProsperLoan,2400,3035,2839,0.06457990115321252,462,False,33|32b3994528|6220556e71
oddbench,ProteinCodonAnalysis,2400,214,213,0.004672897196261682,24,False,14|70697b741b|2d23e970d3
oddbench,ProtestViolence,2400,2686,1764,0.3432613551749814,434,False,7|dc32ccb551|225769a6a0
oddbench,RacingMotion,2400,2924,1998,0.3166894664842681,355,False,10|62a19a4964|90eba1cbfe
oddbench,RealEstateBlockType,1005,276,228,0.17391304347826086,205,False,3|e495ced11a|02b7beefc8
oddbench,RealEstateProperties,2400,217,131,0.39631336405529954,123,False,4|08768e0fef|8894146a87
oddbench,RemoteSensingAnomalies,2400,1609,0,1.0,0,False,4|9e456915de|05dceb8218
oddbench,RulePriorityAnomalies,1274,1013,798,0.21224086870681144,392,False,4|34bcacc8cf|b4aa8eb560
oddbench,SMSClassification,1931,747,237,0.6827309236947792,203,False,9|390eb9ab25|6a8c16178e
oddbench,SalesOrderPriority,2400,3932,3343,0.14979654120040692,513,False,7|8f71713ba9|609603e272
oddbench,SalesPerformance,1056,364,325,0.10714285714285714,267,False,7|4338a28257|5f2f0e56b3
oddbench,SatelliteAnomaly,2010,75,7,0.9066666666666666,7,False,36|e6dcdd5486|16dfbc3061
oddbench,SchoolTypeAnomaly,984,27,23,0.14814814814814814,20,False,7|1bd6102957|b59335e32b
oddbench,SoftwareQualityMetrics,516,209,209,0.0,195,False,56|d3d51eefaa|45a6c2dde6
oddbench,SystemFailureCases,592,280,199,0.2892857142857143,190,False,4|4c9347f12b|927f382bee
oddbench,SystemHealth,2400,2300,64,0.9721739130434782,64,False,182|e4841d3e63|f0056d9e14
oddbench,TBAnomalyDetection,2400,2079,1541,0.2587782587782588,496,False,3|ee1d64fdd5|684ff1680d
oddbench,TransactionFeeAnomalies,2400,966,941,0.025879917184265012,481,False,3|cb1d74298f|b28d3305b9
oddbench,TransactionService,2400,1396,0,1.0,0,False,5|252c0f8201|440acd23c4
oddbench,TreadmillStatus,2400,602,582,0.03322259136212625,187,False,7|c23303fdc0|a57217408a
oddbench,TrialBehavior,2400,1034,954,0.07736943907156674,409,False,3|1519f54297|d4c5d36381
oddbench,UserEventAnomalies,2400,230,207,0.1,124,False,3|5a095456f9|0539941408
oddbench,UserTrackingAnomalies,503,166,143,0.13855421686746988,140,False,5|2c9e4fc68c|3418d6afb0
oddbench,VoteOutcome,2400,671,260,0.6125186289120715,248,False,8|48472d4680|b280009ef7
oddbench,VoteResult,1018,420,0,1.0,0,False,5|f90682c386|72b81d87f5
oddbench,WaterChemistry,2372,854,474,0.4449648711943794,391,False,25|fcbaad4d8d|eefffdb70f
