corpus,dataset,eff_frac,n_hard,knn_apnorm,anom_dist_ratio
oddbench,HealthPulse,0.5425531914893617,856,0.053,1.05
ovrbench,FICO-HELOC-cleaned,0.4711538461538461,835,-0.022,1.01
ovrbench,BatchProcessingEvents,0.4596577017114914,818,-0.05,0.63
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,0.6691823899371069,742,0.251,1.74
ovrbench,FinancialMetricsAnomaly,0.6186868686868687,769,0.114,1.06
adbench,30_satellite,0.4897959183673469,809,0.308,1.18
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,0.5332446808510638,748,0.132,1.21
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,0.5868983957219251,645,0.09,1.15
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,0.7344173441734417,361,0.079,1.18
ovrbench,volkert,0.6823204419889503,412,0.353,1.23
ovrbench,philippine,0.7291666666666666,720,0.259,1.04
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,0.7128851540616247,382,0.138,1.46
oddbench,FantasyFootball,0.5376955903271693,708,0.962,2.4
oddbench,SMSClassification,0.6248216833095578,701,0.847,5.02
ovrbench,UrlAnalysis,0.4220588235294117,630,0.325,1.53
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,0.5937961595273265,655,0.044,1.15
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,0.7623456790123457,656,0.106,1.16
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,0.5935085007727975,621,0.17,1.25
ovrbench,TwitterEmotion,0.8163934426229508,620,0.122,1.07
oddbench,TreadmillStatus,0.2315436241610738,598,0.532,3.11
tsbad_m,137_CreditCard_id_1_Finance_tr_500_1st_5,0.4487394957983193,832,0.217,1.12
ovrbench,BCellImmunity,0.7923875432525952,581,0.111,1.16
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,0.8059964726631393,556,0.227,1.34
ovrbench,GesturePhaseSegmentationProcessed,0.3345454545454545,524,-0.158,0.49
ovrbench,SpatialAnomalies,0.8454545454545455,559,0.396,1.16
oddbench,AttackIncidents,0.6892138939670932,547,-0.011,1.0
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,0.7156133828996283,545,0.417,1.44
ovrbench,BreastCancer,0.8853383458646616,528,0.134,1.36
oddbench,WaterPointFunctionality,0.3740458015267175,524,0.013,1.03
oddbench,WaterChemistry,0.7782026768642447,524,0.216,1.85
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,0.8303747534516766,507,0.173,1.25
ovrbench,RealEstateData,0.6822810590631364,491,0.98,1.73
dami,Annthyroid,0.8551020408163266,492,0.497,2.62
oddbench,EmailSpamDetection,0.8357588357588358,481,0.642,2.32
tsbad_m,110_SVDB_id_27_Medical_tr_30824_1st_3092,0.5916666666666667,497,0.084,1.23
oddbench,FishingAnomalies,0.2836134453781512,476,0.003,0.0
tsbad_m,087_SVDB_id_4_Medical_tr_5421_1st_5521.c,0.6231263383297645,454,0.107,1.12
oddbench,AquaticMacroInverts,0.4847161572052402,460,0.943,1.77
ovrbench,ShillBidding,0.9649122807017544,458,0.651,2.74
oddbench,ArtSalesPlatform,0.5177777777777778,460,-0.003,1.08
ovrbench,KDD,0.7617977528089888,448,-0.003,1.04
ovrbench,page-blocks,0.7777777777777778,442,0.792,5.58
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,0.7447306791569087,426,0.096,1.21
oddbench,WindowsEditionAnomaly,0.7119047619047619,437,0.548,1.53
ovrbench,CryptojackingSystem,0.7482014388489209,416,0.028,1.49
tsbad_m,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,0.5769230769230769,427,0.533,1.35
tsbad_m,095_SVDB_id_12_Medical_tr_6264_1st_6364.,0.7397590361445783,418,0.092,1.16
tsbad_m,103_SVDB_id_20_Medical_tr_12167_1st_1226,0.5132530120481927,420,-0.006,0.99
tsbad_m,107_SVDB_id_24_Medical_tr_32805_1st_3290,0.5956416464891041,419,0.071,1.11
oddbench,LandShapeAnomaly,0.9150485436893204,421,0.273,2.36
tsbad_m,108_SVDB_id_25_Medical_tr_1238_1st_1338.,0.8097560975609757,275,0.383,2.98
oddbench,OkCupidUserBehavior,0.8857142857142857,386,0.067,1.17
adbench,27_PageBlocks,0.875,398,0.779,6.84
dami,PageBlocks,0.875,398,0.779,6.84
ovrbench,KPIData,0.5349462365591398,373,-0.041,0.75
tsbad_m,141_CATSv2_id_4_Sensor_tr_41727_1st_4182,0.7876344086021505,295,0.616,1.64
oddbench,SalesPerformance,0.8388888888888889,360,0.139,1.37
ovrbench,KenyaMovement,0.8272980501392758,361,0.078,1.23
ovrbench,FinancialTransaction1,0.6350974930362117,364,-0.012,0.87
ovrbench,SyntheticNumericalBatch,0.6430769230769231,322,0.009,0.99
ovrbench,GamingBehavior,0.6553846153846153,333,0.397,2.3
ovrbench,ECGAnomaly,0.6863354037267081,298,0.914,3.26
oddbench,AxieInfinityBug,0.5968253968253968,315,0.191,1.37
tsbad_m,173_GECCO_id_1_Sensor_tr_16165_1st_16265,0.7138263665594855,39,0.282,1.51
oddbench,LandRarity,0.5760517799352751,309,-0.034,1.0
oddbench,HealthBehavior,0.9087947882736156,316,0.067,1.59
ovrbench,SpotifyHitPredictor,0.970684039087948,320,0.582,1.59
ovrbench,UserInteraction1,0.4542483660130719,300,0.716,2.51
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,0.7245901639344262,266,0.121,1.4
ovrbench,AbstractAnomalyBatch,0.706081081081081,295,0.004,1.08
oddbench,VoteOutcome,0.9545454545454546,281,0.246,2.94
tsbad_m,143_CATSv2_id_6_Sensor_tr_50000_1st_6023,0.6967509025270758,243,0.613,1.63
ovrbench,students_dropout_and_academic_success,0.9442379182156134,264,0.393,2.03
ovrbench,visualizing_soil,0.924812030075188,266,0.666,2.43
oddbench,CasePriority,0.9318181818181818,264,0.428,12.27
adbench,44_Wilt,0.7182539682539683,253,0.041,1.23
oddbench,GeneticAnalysis,0.7896825396825397,260,-0.005,1.09
dami,Wilt,0.7182539682539683,253,0.041,1.23
oddbench,ProgrammingAnomalies,0.6285714285714286,244,0.0,1.07
oddbench,RealEstateBlockType,0.902542372881356,235,0.022,1.2
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,0.8296943231441049,199,0.003,1.07
ovrbench,HealthMetrics,0.8116591928251121,212,0.008,1.13
tsbad_m,084_SVDB_id_1_Medical_tr_12973_1st_13073,0.8457943925233645,220,0.079,1.25
oddbench,UserEventAnomalies,0.5849056603773585,220,0.477,7.27
oddbench,BugSeverity,0.9330143540669856,211,0.113,1.2
ovrbench,mozilla4,0.680628272251309,190,-0.015,0.94
ovrbench,BankruptcyForecast,0.7606382978723404,189,0.009,1.16
oddbench,CarMakeAnomaly,0.7719298245614035,174,0.085,1.39
ovrbench,ozone-level-8hr,0.6410256410256411,159,-0.052,0.91
ovrbench,seismic-bumps,0.967741935483871,156,0.098,2.01
tsbad_m,104_SVDB_id_21_Medical_tr_50000_1st_1066,0.9025974025974026,159,0.069,1.33
oddbench,AustinCrime,0.9533333333333334,150,0.137,2.37
ovrbench,GeneExpressionCoactivator,0.9790209790209792,177,0.47,2.75
oddbench,RealEstateProperties,0.9416058394160584,138,0.139,3.22
tsbad_m,138_CATSv2_id_1_Sensor_tr_16568_1st_1666,0.7445255474452555,105,0.536,1.55
ovrbench,thyroid-ann,0.9586776859504132,152,0.367,2.4
adbench,23_mammography,0.8907563025210085,117,0.078,1.76
oddbench,DeveloperSurvey,0.8571428571428571,119,0.036,1.09
oddbench,GenomicSequencing,0.905982905982906,117,0.308,1.91
